Day,Date,Time,Room,Programme,sort,Programme.1,Unnamed: 7,Unnamed: 8,Programme.2,Unnamed: 10,Unnamed: 11,Programme.3,Unnamed: 13,Programme.4
DAY 2,2026-07-02,13:30-15:00,Room A,"80*Religious Security in a World of Disasters
Ng, William
National Taiwan Normal University",87,80,Religious Security in a World of Disasters,Religious Security in a World of Disasters: The Environmental Turn of Vegetarian Discourse in Yiguandao and the Construction of Dual Security,80*Religious Security in a World of Disasters,"80*Religious Security in a World of Disasters: The Environmental Turn of Vegetarian Discourse in Yiguandao and the Construction of Dual Security
",,"80*Religious Security in a World of Disasters: The Environmental Turn of Vegetarian Discourse in Yiguandao and the Construction of Dual Security

Ng, William
National Taiwan Normal University",,"80*Religious Security in a World of Disasters: The Environmental Turn of Vegetarian Discourse in Yiguandao and the Construction of Dual Security
Ng, William
National Taiwan Normal University"
DAY 2,2026-07-02,13:30-15:00,Room A,"47*Interpreting Manifestation and Resonance as Religious Experience
Shen, Yeh-Ying
Singapore University of Social Sciences",88,47,Interpreting Manifestation and Resonance as Religious Experience,Interpreting Manifestation and Resonance as Religious Experience: Yiguandao Field Narratives in Indonesia,47*Interpreting Manifestation and Resonance as Religious Experience,"47*Interpreting Manifestation and Resonance as Religious Experience: Yiguandao Field Narratives in Indonesia
",,"47*Interpreting Manifestation and Resonance as Religious Experience: Yiguandao Field Narratives in Indonesia

Shen, Yeh-Ying
Singapore University of Social Sciences",,"47*Interpreting Manifestation and Resonance as Religious Experience: Yiguandao Field Narratives in Indonesia
Shen, Yeh-Ying
Singapore University of Social Sciences"
DAY 2,2026-07-02,13:30-15:00,Room B,Civil Religion and Religious Social Engagement,89,Civil Religion and Religious Social Engagement,,,Civil Religion and Religious Social Engagement,,,,,
DAY 2,2026-07-02,13:30-15:00,Room B,"96*Exploring Faith-Based Active Citizenship
Chan, Shun Hing
Hong Kong Baptist University",90,96,Exploring Faith-Based Active Citizenship,Exploring Faith-based Active Citizenship: The Hong Kong Christian Industrial Committee and Its Role in the Labor Movement,96*Exploring Faith-Based Active Citizenship,"96*Exploring Faith-based Active Citizenship: The Hong Kong Christian Industrial Committee and Its Role in the Labor Movement
",,"96*Exploring Faith-based Active Citizenship: The Hong Kong Christian Industrial Committee and Its Role in the Labor Movement

Chan, Shun Hing
Hong Kong Baptist University",,"96*Exploring Faith-based Active Citizenship: The Hong Kong Christian Industrial Committee and Its Role in the Labor Movement
Chan, Shun Hing
Hong Kong Baptist University"
DAY 2,2026-07-02,13:30-15:00,Room B,"51*Syncretism of Buddhism and Daoism in Community Culture
Wong, Hau Sze
Saint Francis University",91,51,Syncretism of Buddhism and Daoism in Community Culture,Syncretism of Buddhism and Daoism in Community Culture: The Religious Life of Kam Tin and Sha Tin Nine Alliances Jiao Festivals（佛道合流與社群文化：錦田鄉與沙田九約太平清醮的宗教生活）,51*Syncretism of Buddhism and Daoism in Community Culture,"51*Syncretism of Buddhism and Daoism in Community Culture: The Religious Life of Kam Tin and Sha Tin Nine Alliances Jiao Festivals（佛道合流與社群文化：錦田鄉與沙田九約太平清醮的宗教生活）
",,"51*Syncretism of Buddhism and Daoism in Community Culture: The Religious Life of Kam Tin and Sha Tin Nine Alliances Jiao Festivals（佛道合流與社群文化：錦田鄉與沙田九約太平清醮的宗教生活）

Wong, Hau Sze
Saint Francis University",,"51*Syncretism of Buddhism and Daoism in Community Culture: The Religious Life of Kam Tin and Sha Tin Nine Alliances Jiao Festivals（佛道合流與社群文化：錦田鄉與沙田九約太平清醮的宗教生活）
Wong, Hau Sze
Saint Francis University"
DAY 2,2026-07-02,13:30-15:00,Room B,"21*Religion and Society
Liu, Wei Ting
Tamkang University General Education and Core Curriculum Center",92,21,Religion and Society,Religion and Society: How University Courses Can Connect with Religion in Taiwan,21*Religion and Society,"21*Religion and Society: How University Courses Can Connect with Religion in Taiwan
",,"21*Religion and Society: How University Courses Can Connect with Religion in Taiwan

Liu, Wei Ting
Tamkang University General Education and Core Curriculum Center",,"21*Religion and Society: How University Courses Can Connect with Religion in Taiwan
Liu, Wei Ting
Tamkang University General Education and Core Curriculum Center"
DAY 2,2026-07-02,13:30-15:00,Room B,"84*Building the Kingdom
Yeh, Shu-Ling
National Taitung University
Lau, Sin Wen
University of Otago",93,84,Building the Kingdom,"Building the Kingdom: Infrastructuring Religion and the Formation of a Worker-Student Subjectivity in Taitung, Taiwan",84*Building the Kingdom,"84*Building the Kingdom: Infrastructuring Religion and the Formation of a Worker-Student Subjectivity in Taitung, Taiwan
",,"84*Building the Kingdom: Infrastructuring Religion and the Formation of a Worker-Student Subjectivity in Taitung, Taiwan

Yeh, Shu-Ling
National Taitung University
Lau, Sin Wen
University of Otago",,"84*Building the Kingdom: Infrastructuring Religion and the Formation of a Worker-Student Subjectivity in Taitung, Taiwan
Yeh, Shu-Ling
National Taitung University
Lau, Sin Wen
University of Otago"
DAY 2,2026-07-02,13:30-15:00,Room C,Religion in Quantitative Focus,94,Religion in Quantitative Focus,,,Religion in Quantitative Focus,,,,,
DAY 2,2026-07-02,13:30-15:00,Room C,"63*Religious Practice and Negative Life Attitudes
Fan, Gang-Hua
Soochow University",95,63,Religious Practice and Negative Life Attitudes,Religious Practice and Negative Life Attitudes: A Comparison Between Taiwan Soka Gakkai Members and Other Buddhists,63*Religious Practice and Negative Life Attitudes,"63*Religious Practice and Negative Life Attitudes: A Comparison Between Taiwan Soka Gakkai Members and Other Buddhists
",,"63*Religious Practice and Negative Life Attitudes: A Comparison Between Taiwan Soka Gakkai Members and Other Buddhists

Fan, Gang-Hua
Soochow University",,"63*Religious Practice and Negative Life Attitudes: A Comparison Between Taiwan Soka Gakkai Members and Other Buddhists
Fan, Gang-Hua
Soochow University"
DAY 2,2026-07-02,13:30-15:00,Room C,"116*How Religion and Religiosity Shape Subjective Well-Being
Hwang, Myeong Hwan
Yonsei University",96,116,How Religion and Religiosity Shape Subjective Well-Being,How Religion and Religiosity Shape Subjective Well-Being? The Mediating Role of Social Isolation,116*How Religion and Religiosity Shape Subjective Well-Being,"116*How Religion and Religiosity Shape Subjective Well-Being? The Mediating Role of Social Isolation
",,"116*How Religion and Religiosity Shape Subjective Well-Being? The Mediating Role of Social Isolation

Hwang, Myeong Hwan
Yonsei University",,"116*How Religion and Religiosity Shape Subjective Well-Being? The Mediating Role of Social Isolation
Hwang, Myeong Hwan
Yonsei University"
DAY 2,2026-07-02,13:30-15:00,Room C,"72*Transcending the Self or Loving Thy Neighbor
Su, Kuo-Hsien
National Taiwan University",97,72,Transcending the Self or Loving Thy Neighbor,Transcending the Self or Loving Thy Neighbor? Religious Traditions and Core Discussion Networks in East Asia,72*Transcending the Self or Loving Thy Neighbor,"72*Transcending the Self or Loving Thy Neighbor? Religious Traditions and Core Discussion Networks in East Asia
",,"72*Transcending the Self or Loving Thy Neighbor? Religious Traditions and Core Discussion Networks in East Asia

Su, Kuo-Hsien
National Taiwan University",,"72*Transcending the Self or Loving Thy Neighbor? Religious Traditions and Core Discussion Networks in East Asia
Su, Kuo-Hsien
National Taiwan University"
DAY 2,2026-07-02,13:30-15:00,Room C,"40*Religious Diversity Around the World
Tong, Yunping
Pew Research Center",98,40,Religious Diversity Around the World,Religious Diversity Around the World,40*Religious Diversity Around the World,"40*Religious Diversity Around the World
",,"40*Religious Diversity Around the World

Tong, Yunping
Pew Research Center",,"40*Religious Diversity Around the World
Tong, Yunping
Pew Research Center"
DAY 2,2026-07-02,13:30-15:00,Room D,Religious Identity in the Digital Age,99,Religious Identity in the Digital Age,,,Religious Identity in the Digital Age,,,,,
DAY 2,2026-07-02,13:30-15:00,Room D,"36*The Relationship of Youth with Hui Ethnicity and Islam in Modern Chinese City
Gao, Tianlin
Hokkaido University",100,36,The Relationship of Youth with Hui Ethnicity and Islam in Modern Chinese City,The Relationship of Youth with Hui Ethnicity and Islam in Modern Chinese City: A Case Study based in Shenzhen,36*The Relationship of Youth with Hui Ethnicity and Islam in Modern Chinese City,"36*The Relationship of Youth with Hui Ethnicity and Islam in Modern Chinese City: A Case Study based in Shenzhen
",,"36*The Relationship of Youth with Hui Ethnicity and Islam in Modern Chinese City: A Case Study based in Shenzhen

Gao, Tianlin
Hokkaido University",,"36*The Relationship of Youth with Hui Ethnicity and Islam in Modern Chinese City: A Case Study based in Shenzhen
Gao, Tianlin
Hokkaido University"
