Unnamed: 0,"The 8th Annual Conference of 
East Asian Society for the Scientific Study of Religion (EASSSR)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,2026-07-01 00:00:00,15:20-16:30,Room D,"92*Relic Stūpas associated with the Chinese Zodiac in Northern Thailand

Bingenheimer, Marcus Temple University",40
,2026-07-01 00:00:00,15:20-16:30,Room D,"90*The Deity's Keeper: A Study of the Role of Chinese Mahayana Buddhism in 
Sustaining Chinese Folk Religions in Singapore and Malaysia

Sam, Li Ying Independent Researcher",41
,2026-07-01 00:00:00,15:20-16:30,Room D,"130*Merit, Virtue, and Power: Rethinking Buddhist ""Economy of Merit"" through 
Myanmar's Free Funeral Service Movement 

Shu, Mu-Lung National Yang Ming Chiao Tung University",42
,2026-07-01 00:00:00,16:30-16:45,,BREAK,43
,2026-07-01 00:00:00,16:45-17:10,,"Video Appreciation
AI in Religious Studies

Lancaster, Lewis R. 
University of California, Berkeley",44
,2026-07-01 00:00:00,17:10-18:20,,TOUR,45
,,,,,
,"The 8th Annual Conference of 
East Asian Society for the Scientific Study of Religion (EASSSR)",,,,
,DAY 2,,,,
,2026-07-02 00:00:00,,,,
,Date,Time,Room,Programme,
,2026-07-02 00:00:00,09:15-10:45,Room A,"Spirituality, Science, and Animal in the Digitalized Worlds",46
,2026-07-02 00:00:00,09:15-10:45,Room A,"101*Quantum Consciousness Theory and Its Implications for the Sociology of 
Spirituality/Religion: Focusing on the Orch-OR Theory

Song, Francis Jae-Ryong Kyung Hee University
Kim, Hyun Woo Chungbuk National University",47
,2026-07-02 00:00:00,09:15-10:45,Room A,"91*Imposing Spirituality on Non-Human Companions in the Hyper-connected Community

Yoo, Kwang Suk IRCC, Kyung Hee University
Suh, Dong-Uhn Kyung Hee University",48
,2026-07-02 00:00:00,09:15-10:45,Room A,"81*A Study on the Perceptions and Current Status of Companion Animals in 
Korean Protestantism: From the Perspective of Human-Nonhuman Reciprocity

Kim, Andrew Eungi Korea University
Kim, Jongman Kyung Hee University",49
,2026-07-02 00:00:00,09:15-10:45,Room A,"58*Posthuman Care Practices among People with Type 1 Diabetes Using DIY 
Artificial Pancreas Systems: Implications for the Sociology of Religion

Cha, Min Kyung Kyung Hee University
Jang, Woosung Kyung Hee University",50
,2026-07-02 00:00:00,09:15-10:45,Room B,"Migration, Politics and Religion II",51
,2026-07-02 00:00:00,09:15-10:45,Room B,"55*The Exodus of the Grey and the Black: A Comparative Study of the Survival Strategies 
of Two Out-migrating Churches from China

Gao, Mingui Purdue University",52
,2026-07-02 00:00:00,09:15-10:45,Room B,"10*The Contraction of Religion's Interstitial Social Space in China: 
The Case of a Jiangnan Three-Self Church, 2015-2026

Rogers, Megan Duke Kunshan University
Tian, Zhenyu Duke Kunshan University
Lou, Haozhe Duke Kunshan University",53
,2026-07-02 00:00:00,09:15-10:45,Room B,"2*Transnational Religious Networks of Mongolia and the Mongolian Diaspora 
in the United States

Takizawa, Katsuhiko Osaka University Of Economics",54
,2026-07-02 00:00:00,09:15-10:45,Room B,"122*Institutional Identity Structure and Its Construction Logic of 
Contemporary Chinese Buddhist Monastics

Weng, Kangjian Shantou University",55
,2026-07-02 00:00:00,09:15-10:45,Room C,Religion and Social Theory II,56
,2026-07-02 00:00:00,09:15-10:45,Room C,"62*The Ontological Status of the Sacred in the Age of AI: 
From ""Mind"" and ""Principle"" to Hyper-Reality

Linh, Trinh Ngoc Vietnam National University",57
,2026-07-02 00:00:00,09:15-10:45,Room C,"64*Abiding Nowhere: 
An Inquiry into the Diamond Sutra in the Perspective of Liquid Modernity

Liu, Yining Dharma Drum Institute Of Liberal Arts",58
,2026-07-02 00:00:00,09:15-10:45,Room C,"125*Rhizomatic Religion and Cosmovisiones

Oostveen, Daan F. University Of Humanistic Studies",59
,2026-07-02 00:00:00,09:15-10:45,Room C,"76*Unify by Mission: Evangelical Network Growth via Intragroup Tensions

Tsai, En-Ya University Of Notre Dame",60
,2026-07-02 00:00:00,09:15-10:45,Room D,Religions in Southeast Asia II,61
,2026-07-02 00:00:00,09:15-10:45,Room D,"109*An Overview of Cross-ethnic Religious Practices in Contemporary Indonesian Buddhism: 
A Case Study of the Sangha Agung Indonesia

Chiu, Tzu-Lung Nashua University",62
,2026-07-02 00:00:00,09:15-10:45,Room D,"70*Beyond Sinicization: From Datuk Gong to To Worship in Multi-Ethnic Southern Thailand

Lin, Yu-Sheng Academia Sinica",63
,2026-07-02 00:00:00,09:15-10:45,Room D,"71*Chris Maria: Goddess in Cross-Cultural Maritime Belief?

Xu, Mingqian Academia Sinica",64
,2026-07-02 00:00:00,09:15-10:45,Room D,"88*Beyond Guan Yin's Shadow: Zhao Cai Tong Zi (招财童子) and the Dynamics of 
Folk Buddhist Deity Centralization in Malaysia

Sam, Li Ying Independent Researcher",65
,2026-07-02 00:00:00,10:45-11:00,,BREAK,66
,2026-07-02 00:00:00,11:00-12:10,Room A,"Religion, Social Conflict and War",67
,2026-07-02 00:00:00,11:00-12:10,Room A,"5*Two Impeachments and the Development of Protestant Fundamentalism in Korea: 
Mobilizing Infrastructures and Justificatory Frames in the Park and Yoon Cases

Jang, Hyung Chull Induk University",68
,2026-07-02 00:00:00,11:00-12:10,Room A,"77*Why did the Monks Take Part in the Imjin War?: 
A Question of Corrupted Monks or Institutional Necessity

Kim, Sung-Eun Thomas Dongguk University",69
